id,country_code,name,imageUrl
0,ITA,Italia,https://media.istockphoto.com/id/1334728364/it/vettoriale/bandiera-delleuropa-della-repubblica-italiana.jpg?s=2048x2048&w=is&k=20&c=qmWBnbf060iBL_WGolvPwPgHkHipe2z0qJ07PGOXbE4=
1,ESP,Spagna,https://media.istockphoto.com/id/479224872/it/foto/full-frame-bandiera-della-spagna-con-bandiera.jpg?s=2048x2048&w=is&k=20&c=Ouq2eq5_UzWnMPtlbcYPgWcgGUjm94K4JyQwf8qzP2k=
2,FRA,Francia,https://media.istockphoto.com/id/806626836/it/vettoriale/bandiera-della-francia.jpg?s=2048x2048&w=is&k=20&c=g2pCPNgLXhJ8sD96hH1G1YHeSpgJts6av2p2EocjRXc=
3,ENG,Inghilterra,https://media.istockphoto.com/id/500425531/it/vettoriale/bandiera-del-regno-unito.jpg?s=2048x2048&w=is&k=20&c=xjpKxyujjsv1ncvFA23dzeo6C_TR9J1nfAqgzEXZPWY=
4,GER,Germania,https://media.istockphoto.com/id/691333546/it/vettoriale/bandiera-tedesca-layout-piatto-illustrazione-vettoriale.jpg?s=2048x2048&w=is&k=20&c=AK2W7t_8h0rcj9xsOp07Xu-Ad6JgjaMJqnmHuq4dT5c=
5,SCO,Scozia,https://media.istockphoto.com/id/479032640/it/vettoriale/bandiera-della-scozia.jpg?s=2048x2048&w=is&k=20&c=vrw6LGlfVs_Gy__cYJSM-LppgnO7DN8NPZQUaAMYmEk=
6,POR,Portogallo,https://media.istockphoto.com/id/483663073/it/vettoriale/bandiera-del-portogallo.jpg?s=2048x2048&w=is&k=20&c=nKGgLCJl9wXOZKjbWNuZOCH1ONKnP0V3Nvie1V96gAI=
7,TUR,Turchia,https://media.istockphoto.com/id/472330089/it/vettoriale/bandiera-della-turchia.jpg?s=2048x2048&w=is&k=20&c=BSRAWRbLqE7WQnvT-RDvQPrIMw-SrQhUBPzLvCQfHCg=
8,UKR,Ucraina,https://media.istockphoto.com/id/1372304054/it/vettoriale/bandiera-dellucraina-illustrazione-vettoriale-colore-delloriginale.jpg?s=2048x2048&w=is&k=20&c=9eL7JBvpOtoxIl68oQ_hLSUrOYtE0ejW23jZJqEvb68=
9,HUN,Ungheria,https://media.istockphoto.com/id/482378254/it/vettoriale/bandiera-dellungheria.jpg?s=2048x2048&w=is&k=20&c=m5BcuC61sI1xb1D7QbscpEdej2ISMkEyArR9mLwfgCs=
10,SUI,Svizzera,https://media.istockphoto.com/id/691333880/it/vettoriale/bandiera-svizzera-layout-piatto-illustrazione-vettoriale.jpg?s=2048x2048&w=is&k=20&c=Q9w3o8TXJ-CHLmXbgqZvPVwxUkigUoZuhgrjGMYfgwA=
11,CZE,Repubblica Ceca,https://media.istockphoto.com/id/936590952/it/vettoriale/la-bandiera-nazionale-della-repubblica-ceca-bandiera-ufficiale-della-repubblica-ceca.jpg?s=2048x2048&w=is&k=20&c=losUci80fheuHC_RkMeDlkZ6Bny2lW64QVSSVNl8lPk=
12,NED,Olanda,https://media.istockphoto.com/id/941347566/it/vettoriale/la-bandiera-dei-paesi-bassi-simbolo-nazionale-dello-stato-illustrazione-vettoriale.jpg?s=2048x2048&w=is&k=20&c=oIBdnOpQCpulHupY7nU9sZHqUHWzjvLjEeIsrcDpWGo=
13,MKD,Macedonia,https://media.istockphoto.com/id/1063901892/it/vettoriale/bandiera-della-macedonia.jpg?s=2048x2048&w=is&k=20&c=8ZILIsqzSzsrzMhiLzyIgvW_C6QpD_QCTWFFXUsAixI=
14,POL,Polonia,https://media.istockphoto.com/id/1025179860/it/vettoriale/bandiera-nazionale-polonia.jpg?s=2048x2048&w=is&k=20&c=ZsXyZBSnKUciwnaBzu8puK6IRC64m317JZuTK6bchQ8=
15,SWE,Svezia,https://media.istockphoto.com/id/472317387/it/vettoriale/bandiera-della-svezia.jpg?s=2048x2048&w=is&k=20&c=fcTw8ml_lJXVbqEzrlVXkqUR0t_ZPrgYcaTETuh5txg=
16,FIN,Finlandia,https://media.istockphoto.com/id/1220931074/it/vettoriale/grafica-vettoriale-della-bandiera-finlandese-illustrazione-del-flag-finlandese.jpg?s=2048x2048&w=is&k=20&c=01PXe60cipNxOsi0OfyFd2rKw40CzsoDl-5sj0w8zWo=
17,WAL,Galles,https://media.istockphoto.com/id/1166988860/it/vettoriale/galles.jpg?s=2048x2048&w=is&k=20&c=SIJcXRj81_KvTfps9ieczO2AKjjqbxyv-5xWZzX_IKc=
18,RUS,Russia,https://media.istockphoto.com/id/472330819/it/vettoriale/bandiera-della-russia.jpg?s=2048x2048&w=is&k=20&c=B8AxW8rYUSSCRLAOMj7Se52_FSV9HC64EMu9WEE2qYI=
19,SVK,Slovacchia,https://media.istockphoto.com/id/1128703943/it/vettoriale/bandiera-slovacca.jpg?s=2048x2048&w=is&k=20&c=aSlo2a6YBTNGAHY9n0Ui5magYAPTv0nIqE2eGRSJ0VM=
20,BEL,Belgio,https://media.istockphoto.com/id/652150894/it/vettoriale/belgio.jpg?s=2048x2048&w=is&k=20&c=WxlcWAhGmfQVRjcmdvR6A0Ua8t2PvKpcIAlwufHu110=
21,AUT,Austria,https://media.istockphoto.com/id/1054401076/it/vettoriale/bandiera-vettoriale-della-repubblica-daustria-proporzione-2-3-bandiera-dellaustria-il.jpg?s=2048x2048&w=is&k=20&c=VGm5cLvz9-YWeNU1tF67cr5uoLXmLbLOCb6FON6-Jjc=
22,CRO,Croazia,https://media.istockphoto.com/id/519920502/it/vettoriale/bandiera-della-croazia.jpg?s=2048x2048&w=is&k=20&c=sD7uunJz_vNUNDCqBJMxfuVU4bmVUpk6QGxaDji9nto=
23,DEN,Danimarca,https://media.istockphoto.com/id/537287201/it/vettoriale/bandiera-della-danimarca.jpg?s=2048x2048&w=is&k=20&c=KWH_puTBKiFYwO8EJyb1SaMk_v9-37uTcLeAvyWlt6Y=